"DisplayName","UserPrincipalName","Department","JobTitle","AccountEnabled","Group"
"Adam Patton","AdamPatton@yonjon0011gmail.onmicrosoft.com","IT","Cloud Engineer","True","SG-AWS-Developers"
"Adam Patton","AdamPatton@yonjon0011gmail.onmicrosoft.com","IT","Cloud Engineer","True","SG-Cloud-Engineers"
"Adam Patton","AdamPatton@yonjon0011gmail.onmicrosoft.com","IT","Cloud Engineer","True","SG-IT-Users"
"Dame Irving","DameIrving@yonjon0011gmail.onmicrosoft.com","IT","Help Desk Analyst ","True","SG-HelpDesk"
"Dame Irving","DameIrving@yonjon0011gmail.onmicrosoft.com","IT","Help Desk Analyst ","True","SG-IT-Users"
"James Wilson","james.wilson@yonjon0011gmail.onmicrosoft.com","IT","Help Desk Analyst","False","None"
"John  Smith","johnsmiths@yonjon0011gmail.onmicrosoft.com","Finance","Financial Analyst","True","SG-AWS-ReadOnly"
"John  Smith","johnsmiths@yonjon0011gmail.onmicrosoft.com","Finance","Financial Analyst","True","SG-Finance-Analysts"
"John  Smith","johnsmiths@yonjon0011gmail.onmicrosoft.com","Finance","Financial Analyst","True","SG-Finance-Users"
"Ron Jones","ronj768_gmail.com#EXT#@yonjon0011gmail.onmicrosoft.com","HR","HR Analyst","True","SG-HR-Analysts"
"Ron Jones","ronj768_gmail.com#EXT#@yonjon0011gmail.onmicrosoft.com","HR","HR Analyst","True","SG-HR-Users"
"Rye Sue","RyeSue@yonjon0011gmail.onmicrosoft.com","IT","Privileged Administrator","True","SG-IT-Users"
"Rye Sue","RyeSue@yonjon0011gmail.onmicrosoft.com","IT","Privileged Administrator","True","SG-Privileged-Admins"
"Yonatan Retta","yr@yonjon0011gmail.onmicrosoft.com",,,"True","None"
